kata,dasar,stopword,sinonim
fase,Ya,Bukan,ambang|aras|babak|bagian|batas|etape|golongan|kelas|langkah|peringkat|periode|ronde|seksi|sesi|stadium|susunan|tahap|taraf|tingkat|unit
fasilitas,Ya,Bukan,akomodasi|alat|kelawasan|keleluasaan|kelonggaran|keluasan|kemudahan|keringanan|kesempatan|prasarana|sarana|wahana|layanan|pelayanan|servis
fatal,Ya,Bukan,berat|buruk|celaka|mematikan|parah|membahayakan|menyulitkan|teruk
favorit,Ya,Bukan,idola|kesayangan|pujaan|hobi|kegemaran|kesenangan|kesukaan|pelipuran
fenomena,Ya,Bukan,anggai|faal|fakta|gejala|gelagat|isyarat|keajaiban|kejadian|pertanda|petunjuk|sinyal|tanda|tengara|wujud
festival,Ya,Bukan,hajatan|kegiatan|keramaian|pameran|parade|pekan raya|perayaan|pergelaran|pertunjukan|pesta|ajang|kejuaraan|kompetisi|konkurs|kontes|lomba|perlombaan|pertandingan|pertarungan|sayembara|turnamen
figur,Ya,Bukan,bentuk|persona|profil|rupa|sosok|tokoh|wajah|wujud|bangun|bentuk|rupa|wujud|corak|desain|motif|patron
fokus,Ya,Bukan,inti|pokok|pusat|titip api
fungsi,Ya,Bukan,guna|jabatan|kegiatan|kewajiban|manfaat|peran|peranan|tanggung jawab|tugas
gabung,Ya,Bukan,balut|bebat|berkas|ikat|jaras|kebat|taris
gagal,Ya,Bukan,batal|bubar|kalah|kandas|kubra|malang|mudarat|patah pucuk|puatang|rusak|suak|urung
gagas,Ya,Bukan,membuka|memelopori|memprakarsai|memulai|menaja|meneroka|mengajun|menganjuri|mengawali|merencanakan|merintis
gambar,Ya,Bukan,coretan|goresan|ilustrasi|lakaran|lukisan|pigura|rajah|sketsa|tulisan
gampang,Ya,Bukan,gamblang|gangsar|lancar|licin|mudah|mulus|murah|sederhana|suang|enteng|ganyir|remeh|ringan|sepele|sipil 
anda,Ya,Bukan,dobel|kembar|rangkap|berpasangan
gawat,Ya,Bukan,berbahaya|cemas|darurat|genting|krisis|kritis|mendesak|panas|rawan|runcing|serius|terancam|urgen|akut|berat|biut|keras|kronis|parah|payah|serius|rumit|ruwet|sulit|susah
gaya,Ya,Bukan,daya|energi|kekuatan|tenaga|aksi|gerak-gerik|lagak-lagu|pembawaan|perangai|pose|sikap|tingkah|ulah|ala|bentuk|cara|corak|kecenderungan|lagam|lagu|macam|model|ragam|rupa|siasat|teknik|tren
gemerlap,Ya,Bukan,bercelak|berkaca-kaca|berkilap|berkilat|berkilauan|bersemarak|gilang-gemilang|seminar
gempita,Ya,Bukan,gaduh|gegap-gempita|ramai|riuh-rendah
generasi,Ya,Bukan,angkatan|keturunan|turunan
gerak,Ya,Bukan,debar|denyut|detak|garit|kejut|renyut|aksi|dinamika|dorongan
gerebek,Bukan,Bukan,menggerompok|menggeropyok|menangkap|menggeledah|menyergap|menyerkap|merazia|merejeng
gerebek,Bukan,Bukan,menggerompok|menggeropyok|menangkap|menggeledah|menyergap|menyerkap|merazia|merejeng
gratis,Ya,Bukan,bebas|cuma-cuma|percuma
grup,Ya,Bukan,blok|klik|kubu|agregasi|perkumpulan|persekutuan|perserikatan
habis,Ya,Bukan,amblas|berakhir|beres|berhenti|bersih|damas|finis|gentas|gugur|hilang|jatuh|khatam|kosong|lenyap|lesap|lewat|lindang|lingkap|ludes|luruh|melindap|punah|putus|rapi|rugi|selesai|siap|suntuk|tamam|tamat|tandas|tandus|tewas|timpas|tohor|tumpas|tuntas|usai
hadap,Ya,Bukan,arah|hala|jurusan|paran|tala|tepas|tuju|depan|hadapan|haluan|muka
kenangan|komisi|parsel|pemberian|penghargaan|persembahan|persen|sagu hati|suvenir|tanda mata|tip|uang lelah|uang rokok|upah
hadir,Ya,Bukan,ada|datang|masuk|muncul|sedia|siap|tampil|tampak|tecermin|tergambar|terlihat|terlukis|terpantul
halaman,Ya,Bukan,jerambah|laman|pekarangan|pelataran|peron|taman|kaca|lembaran|muka (surat)|pagina
halangan,Bukan,Bukan,aral|batu penarung|batu sandungan|galangan|gandal|gangguan|ganjalan|hambatan|inhibisi|kendala|larangan|lintangan|pembatasan|prohibisi|restriksi|rintangan|sangkutan|sekat|tahanan
halus,Ya,Bukan,kecil|lembut|lumat|renik|subtil
hambat,Ya,Bukan,memasung|memayahkan|membancang|membantut|membendalkan|membendung|memingit|menahan|menambak|menanggang|mengambang|mengekang|mengerem|menggalangi|menghalang|menyakatkan|menyekat|menyendat|menyeratkan|meredam|merentangi|merintangi
hampar,Ya,Bukan,membentang|terbentang|terentang|tergelar|tergelar|terkembang|terpampang|terpapar|terpentang
hangat,Ya,Bukan,panas kuku|pesam|suam|suamsuam kuku|akrab|bersahabat|dekat|erat|familiar |intim|karib|kekeluargaan|lembut|manis|mendalam|menyenangkan|mesra|ramah|simpatik|sosial|aktual|baru|mutakhir|segar|terakhir|berapi-api|berkobar-kobar|genting|hebat|meruncing|sengit|tegang
hangus,Ya,Bukan,cengkut|gosong|terbakar|tutung
harga,Ya,Bukan,kadar|kualitas|mutu|nilai|payu|taksiran|derajat|harkat|kehormatan|martabat|pangkat|arti|faedah|guna|makna|manfaat|maslahat|kepentingan|keperluan
hebat,Ya,Bukan,azamat|bergaya|berkuasa|cemerlang|dahsyat|genting|hangat|hormat|istimewa|jempolan|kuat|luar biasa|memesona|memikat|memuaskan|menarik|mencengangkan|mencolok|mengagumkan|mengerikan|panas|perkasa|santer|segan|sengit|seru|spektakuler|super|superior|teruk|yahud 
heboh,Ya,Bukan,bising|bundak|cabuh|ceruh|gaduh|geger|gempar|huru-hara|kacau|kecoh|ramai|recok|ribut|ripuh|riuh|rusuh|skandal
hibur,Ya,Bukan,melengah|melipur|menarik|mendinginkan|menenangkan|menggirangkan|menumbuk|menyejukkan|menyenangkan|menyukakan|meredakan|merintangkan
hitung,Ya,Bukan,bagi|bilang|hisab|jumlah|kira|kurang|perbanyak
hubung,Ya,Bukan,sambung
ibu,Ya,Ya,biyung|bok|bunda|emak|embuk|emcok|encim|ibunda|incim|induk|indung|injin|mak|mama|mami |mandeh|uai|umi|bini |induk beras|istri|nyonya|orang belakang |orang rumah|pedusi|perempuan|pusat|induk|pokok|utama|sentral
idam,Ya,Bukan,memalarkan|membayangkan|memimpikan|mencita-citakan|mendambakan|mengangankan|mengharapkan|mengincar|menginginkan|mengigaukan|mengkhayalkan|merindukan
ide,Ya,Bukan,citra|konsep|impresi|pendapat|pengertian|persepsi|pikiran|bisikan|buah pikiran|cita-cita|gagasan|ilham|inisiatif|inspirasi|prakarsa|tanggapan
ideal,Ya,Bukan,acuan|arketipe|cermin|contoh|eksemplar|model|paradigma|pola|teladan|a abstrak|hipotetis|konseptual|teoretis|transendental|a kamil|komplet|lengkap|sempurna
identifikasi,Ya,Bukan,pengenalan|rekognisi
identitas,Ya,Bukan,ciri-ciri|individualitas|jati diri|label|nama|personalitas|sebutan
imajinasi,Ya,Bukan,angan-angan|fantasi|khayalan|visi
imbang,Ya,Bukan,timbal|timbang|bimbang|ragu-ragu
imbas,Ya,Bukan,akibat|dampak|efek|ekses |impak|konsekuensi|pengaruh|aliran|gerakan udara|angin
imbau,Ya,Bukan,memanggil|menyeru|memelawa|menjemput|mengajak
imbuh,Ya,Bukan,ekstra|ganduh|tambahan|tokok|welasan
impas,Ya,Bukan,bera|beres|draw|habis|langsai|lunas|terbayar|pulang modal|pulang
implementasi,Ya,Bukan,aplikasi|pelaksanaan|penerapan|pengamalan|pengejawantahan|penjabaran|praktik|rekayasa
indikasi,Ya,Bukan,alamat|bakat|faal|gejala|gelagat|isyarat|padahan|pelebaya|petunjuk|riak |simpom|sinyal|tanda|tengara
info,Ya,Bukan,berita
infrastruktur,Ya,Bukan,prasarana
informasi,Ya,Bukan,penerangan|penjelasan|bahan|berita|data|embaran|fakta|kabar|keterangan|laporan|liputan|warta
inovatif,Ya,Bukan,imajinatif|inventif|kreatif
insentif,Ya,Bukan,dorongan|impetus|impuls|katalis|motivasi|perangsang|stimulan|stimulus
instruksi,Ya,Bukan,aba-aba|ajaran|amanat|amaran|arahan|komando|nasihat|perintah|pesan|titah|tugas|pedoman|pelatihan|pendidikan|petunjuk
intensif,Ya,Bukan,gentur|intens|mendalam|serius|sungguh-sungguh
internal,Ya,Bukan,dalam|intern|privat|n domestik|kerumahtanggaan
internasional,Ya,Bukan,antarbangsa|global|mendunia|mondial|universal
investor,Ya,Bukan,penanam modal|penyandang dana
istilah,Ya,Bukan,kata|nama|sebutan|terma
istimewa,Ya,Bukan,distingtif|eksklusif|eksotis|individual|khas|khusus|spesial|spesifik|tersendiri|unik|hebat|jempolan|luar biasa|penting|prima|sempurna|signifikan|spesial|super
jadwal,Ya,Bukan,agenda|skedul |susunan|urutan|acara|rencana|program|rancangan
jaga,Ya,Bukan,bangun|bergadang|celik|gugah|melek |sadar|terbuka|ronda|piket|patroli|kawal|berkawal|sambang|menunggui
jajar,Ya,Bukan,banjar|baris|deret|jejer|lajur|larik|leret|nirai|ririt|saf|alur|longkang|parit|tali air|terusan air
jalan,Ya,Bukan,adimarga|bulevar|denai|gang|jalan|berkepanjangan|berlarat-larat|berlarut-larut|bertele-tele|melantur|melayang |melebar
jalur,Ya,Bukan,kolom|pias|alur|balur akar|ban|baris|belang|carik|coreng|deret|deretan|galur|garis(-garis)|kirai|lajur|leret|lerang|lintasan|loreng|pelang|rel|rute|sabuk|salur|senggatan|trayek|urat|barisan|jongkong|kempang|kolek|perahu|sagur
jangkau,Ya,Bukan,mencapai|mencengkam|mencengkau|mencengkeram|mengambil|menggapai|menguasai|menjemput|menyebar|meraih|merengkuh
jangkit,Ya,Bukan,meluaskan|membiakkan|menjalarkan|menularkan|menyebarkan|merebakkan
jaring,Ya,Bukan,bantau|candik|gombang|jala|kisa|net|pompang|pukat|salambo|serot|seser|sirat|sondong|tangkul
jasa,Ya,Bukan,bantuan|kebaikan|pelayanan|pertolongan|servis|uluran tangan
jawab,Ya,Ya,balas|balasan|elakan|jawaban|perlawanan|reaksi|respons|sahutan|sambutan|tanggapan|tangkisan
jebak,Ya,Bukan,melibat|memancing|membebat|membelit|memerangkap|memikat|menangkap|mencelakakan|menipu|menjerat
jejak,Ya,Bukan,alur|anutan|bekas|cap|contoh
jernih,Ya,Bukan,bening|bersih|hening|jelah|transparan|bercahaya|berseri|bersinar|cerah|ceria|lurus|runtut
jorok,Ya,Bukan,mencodak|mencuat|menganjur|menjulur|menonjol|terserondok
kabar,Ya,Bukan,berita|informasi|maklumat|pemberitahuan|pengumuman|warta
kabul,Ya,Bukan,keikhlasan|kelulusan|kerelaan|penerimaan|perjanjian|perkenan|persetujuan
kabur,Ya,Bukan,aram-temaram|baur|buram|kabut|kelam|keruh|kusam|lamat-lamat|melindap|membalam|muram|pirau|pudar|redup|remang-remang|samar-samar|saru|sayup-sayup|sebam|suram|angkat kaki|enyah|hengkang|hilang|lenyap|maherat|melarikan diri|mengacir|minggat|pergi
kabut,Ya,Bukan,awan|halimun|mega|a baur|buram|ilam-ilam|kelam|kusam|lamatlamat|pirau|redup|remang|samar-samar|sebam|suram
kacau,Ya,Bukan,bancuh|baur|berantakan|berkaru|bingung|buyar|gaul|haru biru|kacau balau|kacuk|kalut|kelamkabut|keruh|lopak-lapik|rancu|ricuh|rusak|teraduk-aduk|tercampur
kadang,Ya,Bukan,adakalanya|kadang kala|sekali-sekali|sekali waktu|sering-sering|sesekali|sporadis|terkadang
kadar,Ya,Bukan,kekuatan|kemampuan|kuasa|persentase|takaran|tingkatan|ukuran|karat|harga|harkat|kualitas|martabat|mutu|nilai|taraf
kaget,Ya,Bukan,kagum|takjub|tercengang|tergemap|terheran-heran|terkejut|terkesiap|termenung|terpengarah|terperanjat|terpesona|tersentak|tertegun 
ketat,Ya,Bukan,kencang|ketang|sempit|sendat|sepan|sesak|singset|terik|cermat|saksama|selektif|teliti|erat|lekat
kagum,Ya,Bukan,heran|takjub|tercengang|terpesona|silau |terpukau
kanal,Ya,Bukan,saluran|terusan|kali|lungkang|parit|serokan|susukan|tali air
kandidat,Ya,Bukan,bakal|calon|kader|kadet|kontestan|pengikut|peserta
kantong,Ya,Bukan,kampil|kandi|kandung|kantung|karung|kekandi|kocek|kopek|poket |pundi-pundi|pura|sak|saku|tas|uncang
kapasitas,Ya,Bukan,daya muat|daya serap|daya
karakter,Bukan,Bukan,aksara|huruf|leter|lambang|markah|simbol|tanda|bawaan|hati|jiwa|kepribadian|budi 
karakteristik,Bukan,Bukan,idiosinkrasi|individualitas|karakter|keistimewaan|kekhususan|keunikan|partikularitas|a distingtif|individual|istimewa|khas|khusus|spesial|spesifik|tersendiri|unik
karcis,Ya,Bukan,kartu|tiket
kisar,Ya,Bukan,kisaran|pusaran|putaran|rotasi
kolaborasi,Ya,Bukan,kerja sama|kooperasi|persekutuan
koleksi,Ya,Bukan,antologi|kompilasi|korpus|perbendaharaan|pusparagam|seleksi
kompak,Ya,Bukan,akur|damai|rukun|seia-sekata
kompeten,Ya,Bukan,ahli|berpengalaman|cakap|eksper|kuat|mahir|paham|pandai|piawai|pintar|profesional|terampil|terlatih
kompetensi,Ya,Bukan,kebiasaan|kebolehan|kecakapan|daya|kapabilitas
komplain,Ya,Bukan,aduan
komplit,Bukan,Bukan,komplet
komunikasi,Ya,Bukan,hubungan|koneksi|kontak|korespondensi
kondisi,Ya,Bukan,hal|ihwal|keadaan|kedudukan|perihal|status|iklim|kerangka|konteks|situasi|suasana|kualifikasi|limitasi|pembatasan|(pra)-syarat
kondisional,Bukan,Bukan,provisional|tentatif
konfirmasi,Ya,Bukan,afirmasi|penegasan|peneguhan|pengukuhan|penyungguhan|testimoni|justifikasi|pembenaran|pembuktian|pengesahan|validasi|verifikasi
konsisten,Ya,Bukan,konstan|malar|persisten|stabil|taat asas|tetap|harmonis|koheren|selaras|sesuai
koordinasi,Ya,Bukan,harmonisasi|pengaturan|pengorganisasian|penyelarasan|penyerasian|sinkronisasi
kosong,Ya,Bukan,angin |blangko|hampa|kelompang|nihil|polos|terluang|vakum|ki
kotor,Ya,Bukan,bergelimang|celemotan|celomok|cemong|comot|coreng-moreng|dekil|jorok|kumuh|ternoda|asusila|buruk|cabul|cacat|carut|cemar|hina|jelek|lata|nista|rendah|tercela|vulgar|bruto
kreatif,Ya,Bukan,artistik|imajinatif|inovatif|inventif|kaya |produktif
kritik,Ya,Bukan,apresiasi|catatan|celaan|iktirad|kecaman|komentar|penilaian|pertimbangan|sanggahan|siasat|suara miring|teguran
kumpul,Ya,Bukan,gabung|himpun|rangkai
laba,Ya,Bukan,keuntungan|kelebihan|margin|profit|surplus|arti|faedah|guna|manfaat
label,Ya,Bukan,cap|etiket|merek|stiker|identitas|julukan|nama|predikat|sebutan|emblem|lekatan
lacak,Ya,Bukan,mencari|menuruti|menyelidiki|mengusut|memeriksa|menapak|merunut|menelusur|membaui |mengendus|membayangi|membuntuti|mengejar|mengikuti|menjejaki |menyelusuri|menyusuri|mempelajari|menggali |menyelidiki
ladang,Ya,Bukan,cerang|huma|kangka|kebun|parak|pendapatan|perkebunan|sesapan|tebasan|tegal|tipar
laga,Ya,Bukan,adu|antuk|langgar|peperangan|pergelutan|perkelahian|pertarungan|pertempuran|rempuh|sabung|serang|tanding|tempuh
lahan,Ya,Bukan,kapling|persil|tanah
laju,Ya,Bukan,cepat|deras|ekspres|geladir|kencang|lampias|lancar|pesat|n kecepatan|lejang|percepatan|rejang
lajur,Ya,Bukan,banjar|deret|jajar|jejer|larik|leret|ririt|saf|jalur|kolom|pias|ruangan
laki,Ya,Bukan,adam|laki-laki|lanang|lelaki|maskulin|pria|bujang|cowok |jaka|jejaka|pemuda|perjaka|jantan|junjungan|suami
laku,Ya,Bukan,krida|perbuatan|tindakan|gerak-gerik|perangai|peri|perilaku|ragam|sepak|kayun|larap|laris|v berjual|terjual|a absah|berlaku
lakukan,Bukan,Bukan,buat
lalai,Ya,Bukan,abai|alpa|cabar|cuai|cupai|khali|lena|lengah|lupa|meleng|seleder|taksir|teledor|terpica
lalu lintas,Ya,Bukan,berseliweran|bolak-balik|hilir
lamalama,Bukan,Bukan,berangsur-angsur|berantara|berdikit-dikit|bertahap|lama-kelamaan|lambat-laun|perlahan-lahan|sedikit demi
lambai,Ya,Bukan,melembai|mengawai|menggubit|menyembai|bergelebar|berkibar
lamban,Ya,Bukan,dambar|kelesa|lambat|langsam|laun|lelet|lemah|lembam|lengah|pelan|perlahan|layu|lengai|lesu|loyo|gontai
